team,gameweek,week_start,avg_score,avg_score_pct,n_articles,n_relevant
Goztep,2026-W02,2026-01-05,0.0,0.0,1,0
Goztep,2026-W04,2026-01-19,0.0,0.0,6,0
Goztep,2026-W05,2026-01-26,0.5,12.5,6,4
Goztep,2026-W06,2026-02-02,0.0,0.0,1,0
Goztep,2026-W07,2026-02-09,0.333,8.3,3,1
Goztep,2026-W08,2026-02-16,0.0,0.0,6,0
Goztep,2026-W09,2026-02-23,0.0,0.0,8,0
Goztep,2026-W10,2026-03-02,0.0,0.0,3,0
Goztep,2026-W11,2026-03-09,0.0,0.0,1,0
Goztep,2026-W14,2026-03-30,0.0,0.0,2,0
Goztep,2026-W15,2026-04-06,0.0,0.0,5,0
Goztep,2026-W16,2026-04-13,0.0,0.0,3,0
Karagumruk,2025-W27,2025-06-30,0.0,0.0,6,1
Karagumruk,2025-W30,2025-07-21,0.0,0.0,1,0
Karagumruk,2025-W33,2025-08-11,0.0,0.0,3,0
Karagumruk,2025-W34,2025-08-18,0.0,0.0,3,0
Karagumruk,2025-W38,2025-09-15,0.0,0.0,2,0
Karagumruk,2025-W39,2025-09-22,0.0,0.0,2,0
Karagumruk,2025-W40,2025-09-29,0.0,0.0,1,0
Karagumruk,2025-W42,2025-10-13,0.0,0.0,3,0
Karagumruk,2025-W43,2025-10-20,0.0,0.0,1,0
Karagumruk,2025-W44,2025-10-27,1.286,32.1,21,7
Karagumruk,2025-W45,2025-11-03,0.5,12.5,4,1
Karagumruk,2025-W49,2025-12-01,4.0,100.0,5,5
Karagumruk,2025-W50,2025-12-08,4.0,100.0,3,3
Karagumruk,2025-W51,2025-12-15,4.0,100.0,1,1
Karagumruk,2025-W52,2025-12-22,4.0,100.0,1,1
Karagumruk,2026-W01,2025-12-29,0.167,4.2,18,2
Karagumruk,2026-W04,2026-01-19,0.0,0.0,2,0
Karagumruk,2026-W05,2026-01-26,0.0,0.0,2,0
Karagumruk,2026-W06,2026-02-02,0.0,0.0,1,0
Karagumruk,2026-W07,2026-02-09,4.0,100.0,1,1
Karagumruk,2026-W08,2026-02-16,0.0,0.0,1,0
Karagumruk,2026-W09,2026-02-23,0.0,0.0,3,0
Karagumruk,2026-W10,2026-03-02,1.667,41.7,3,2
Karagumruk,2026-W11,2026-03-09,2.333,58.3,3,2
Karagumruk,2026-W12,2026-03-16,0.0,0.0,3,0
Karagumruk,2026-W14,2026-03-30,0.0,0.0,1,0
Karagumruk,2026-W15,2026-04-06,0.0,0.0,1,0
Karagumruk,2026-W16,2026-04-13,0.0,0.0,2,1
Karagumruk,2026-W17,2026-04-20,0.0,0.0,1,0
Kasimpasa,2025-W40,2025-09-29,1.0,25.0,3,1
Kasimpasa,2025-W44,2025-10-27,3.0,75.0,1,1
Kasimpasa,2025-W45,2025-11-03,0.0,0.0,1,0
Kasimpasa,2025-W47,2025-11-17,0.0,0.0,1,0
Kasimpasa,2025-W48,2025-11-24,0.0,0.0,2,0
Kasimpasa,2025-W49,2025-12-01,1.92,48.0,25,15
Kasimpasa,2025-W50,2025-12-08,2.0,50.0,2,1
Kasimpasa,2025-W51,2025-12-15,3.0,75.0,1,1
Kasimpasa,2025-W52,2025-12-22,0.0,0.0,2,0
Kasimpasa,2026-W01,2025-12-29,0.0,0.0,1,0
Kasimpasa,2026-W02,2026-01-05,0.0,0.0,2,0
Kasimpasa,2026-W03,2026-01-12,0.0,0.0,5,0
Kasimpasa,2026-W04,2026-01-19,0.0,0.0,2,0
Kasimpasa,2026-W05,2026-01-26,0.4,10.0,5,2
Kasimpasa,2026-W06,2026-02-02,0.0,0.0,2,0
Kasimpasa,2026-W07,2026-02-09,1.0,25.0,2,1
Kasimpasa,2026-W08,2026-02-16,0.0,0.0,2,0
Kasimpasa,2026-W09,2026-02-23,1.167,29.2,18,12
Kasimpasa,2026-W10,2026-03-02,0.667,16.7,6,3
Kasimpasa,2026-W12,2026-03-16,0.0,0.0,2,0
Kasimpasa,2026-W14,2026-03-30,0.0,0.0,1,0
Kasimpasa,2026-W16,2026-04-13,0.0,0.0,2,0
Kayserispor,2025-W28,2025-07-07,0.0,0.0,1,0
Kayserispor,2025-W33,2025-08-11,0.0,0.0,1,0
Kayserispor,2025-W35,2025-08-25,0.0,0.0,1,0
Kayserispor,2025-W37,2025-09-08,0.0,0.0,1,0
Kayserispor,2025-W39,2025-09-22,1.25,31.2,4,2
