trainer_id,trainer_slug,manager,nationality,date_of_birth,place_of_birth,citizenship
137441,muhterem-ar,Muhterem Ar,Türkiye,1935-09-08,Kocaeli,Türkiye
128115,muhittin-kipcak,Muhittin Kıpçak,Türkiye,1933-09-11,Balikesir,Türkiye
136514,suat-mamat,Suat Mamat,Türkiye,1930-11-08,Istanbul,Türkiye
131834,selahattin-torkal,Selahattin Torkal,Türkiye,1924-11-15,Istanbul,Türkiye
66213,necdet-oran,Necdet Oran,Türkiye,1937-01-01,Sakarya,Türkiye
110880,recep-adanir,Recep Adanır,Türkiye,1929-05-03,Ankara,Türkiye
7286,ole-gunnar-solskjaer,Ole Gunnar Solskjaer,Norway,1973-02-26,Kristiansund,Norway
88763,serdar-topraktepe,Serdar Topraktepe,Türkiye,,,
20014,giovanni-van-bronckhorst,Giovanni van Bronckhorst,Netherlands,1975-02-05,Rotterdam,Netherlands
782,fernando-santos,Fernando Santos,Portugal,1954-10-10,Lisboa,Portugal
117405,burak-yilmaz,Burak Yılmaz,Türkiye,1985-07-15,Antalya,Türkiye
12871,valerien-ismael,Valérien Ismaël,France,1975-09-28,Strasbourg,France Guadeloupe
5078,abdullah-avci,Abdullah Avcı,Türkiye,1963-07-31,Istanbul,Türkiye
3598,slaven-bilic,Slaven Bilic,Croatia,1968-09-11,Split,Croatia
1588,carlos-carvalhal,Carlos Carvalhal,Portugal,1965-12-04,Braga,Portugal
555,bernd-schuster,Bernd Schuster,Germany,1959-12-22,Augsburg,Germany
2019,ertugrul-saglam,Ertuğrul Sağlam,Türkiye,1969-11-19,Zonguldak,Türkiye
258,jean-tigana,Jean Tigana,France,1955-06-23,Bamako,France Mali
40,vicente-del-bosque,Vicente del Bosque,Spain,1950-12-23,Salamanca,Spain
805,mircea-lucescu,Mircea Lucescu,Romania,1945-07-29,Bucharest,Romania
38,christoph-daum,Christoph Daum,Germany,1953-10-24,Zwickau,Germany
693,nevio-scala,Nevio Scala,Italy,1947-11-22,Lozzo Atestino,Italy
62,karl-heinz-feldkamp,Karl-Heinz Feldkamp,Germany,1934-06-02,Essen,Germany
1825,john-toshack,John Toshack,Wales,1949-03-22,Cardiff,Wales
9455,gordon-milne,Gordon Milne,England,1937-03-29,Preston,England Scotland
22946,branko-stankovic,Branko Stankovic,Serbia,1921-10-31,Sarajevo,Serbia Bosnia-Herzegovina
57147,dogan-andac,Doğan Andaç,Türkiye,1923-07-01,Izmir,Türkiye
31011,milovan-ciric,Milovan Ciric,Serbia,1918-02-12,Beograd,Serbia
1518,horst-buhtz,Horst Buhtz,Germany,1923-09-21,Magdeburg,Germany
28547,krum-milev,Krum Milev,Bulgaria,1915-06-11,Sofia,Bulgaria
28544,jane-janevski,Jane Janevski,North Macedonia,1920-01-01,,North Macedonia
